Source,Target,Lag,MCI_Value,P_Value
AH,T,0,0.25507591418169956,1.396499318467662e-08
$SO_2$,T,0,0.13376907799865423,0.0032563431743312
T,AH,0,0.25507591418169956,1.396499318467662e-08
$SO_2$,AH,0,-0.4344120146183888,1.469059573381324e-23
$Flu_A$,AH,0,0.15809106879122484,0.0005150304470994283
T,$SO_2$,0,0.13376907799865423,0.0032563431743312
T,$SO_2$,1,-0.1999322179632957,9.955748727238771e-06
AH,$SO_2$,0,-0.4344120146183888,1.469059573381324e-23
T,$Flu_A$,4,-0.10069502255142292,0.02738575814803232
AH,$Flu_A$,0,0.15809106879122484,0.0005150304470994283
