Source,Target,Lag,MCI_Value,P_Value
AH,T,0,0.11449219717247436,0.0026148047623631384
AH,T,1,-0.1455509722975662,0.0001260565843304852
$NO_2$,T,0,-0.19608731373715962,2.211749124595017e-07
T,AH,0,0.11449219717247436,0.0026148047623631384
$NO_2$,AH,0,-0.34113269616810127,3.4971393301452516e-20
$Flu_A$,AH,0,0.0860068377472135,0.024069526771180492
T,$NO_2$,0,-0.19608731373715962,2.211749124595017e-07
T,$NO_2$,1,-0.25810736462317874,6.908255989217122e-12
AH,$NO_2$,0,-0.34113269616810127,3.4971393301452516e-20
AH,$Flu_A$,0,0.0860068377472135,0.024069526771180492
$NO_2$,$Flu_A$,2,-0.10259745629115798,0.00715824934207693
