Source,Target,Lag,MCI_Value,P_Value
AH,T,0,0.11449219717247436,0.0026148047623631384
AH,T,1,-0.1455509722975662,0.0001260565843304852
$CO$,T,0,-0.15441737112487186,4.876948075405672e-05
T,AH,0,0.11449219717247436,0.0026148047623631384
$Flu_B$,AH,0,0.0781740825033451,0.04037456104850378
T,$CO$,0,-0.15441737112487186,4.876948075405672e-05
AH,$CO$,1,0.12178370358554802,0.0013944577680174573
AH,$CO$,3,0.12098306604306877,0.0014883214782924039
T,$Flu_B$,1,-0.12083433659128512,0.0014966436608026426
AH,$Flu_B$,0,0.0781740825033451,0.04037456104850378
