Source,Target,Lag,MCI_Value,P_Value
AH,T,0,0.11449219717247436,0.0026148047623631384
AH,T,1,-0.1455509722975662,0.0001260565843304852
$NO_2$,T,0,-0.19608731373715962,2.211749124595017e-07
T,AH,0,0.11449219717247436,0.0026148047623631384
$NO_2$,AH,0,-0.34113269616810127,3.4971393301452516e-20
$Flu_B$,AH,0,0.0781740825033451,0.04037456104850378
T,$NO_2$,0,-0.19608731373715962,2.211749124595017e-07
T,$NO_2$,1,-0.25810736462317874,6.908255989217122e-12
AH,$NO_2$,0,-0.34113269616810127,3.4971393301452516e-20
T,$Flu_B$,1,-0.12083433659128512,0.0014966436608026426
AH,$Flu_B$,0,0.0781740825033451,0.04037456104850378
