Source,Target,Lag,MCI_Value,P_Value
AH,T,0,0.11449219717247436,0.0026148047623631384
AH,T,1,-0.1455509722975662,0.0001260565843304852
$SO_2$,T,0,-0.2326091589599022,6.804087117575507e-10
T,AH,0,0.11449219717247436,0.0026148047623631384
$SO_2$,AH,0,-0.3112244701379691,6.778895965491417e-17
$Flu_B$,AH,0,0.0781740825033451,0.04037456104850378
T,$SO_2$,0,-0.2326091589599022,6.804087117575507e-10
AH,$SO_2$,0,-0.3112244701379691,6.778895965491417e-17
T,$Flu_B$,1,-0.12083433659128512,0.0014966436608026426
AH,$Flu_B$,0,0.0781740825033451,0.04037456104850378
