from,to,direct,indirect,total
Policy,Influenza,-0.10011947717139567,0.0,-0.10011947717139567
Temperature,Primary Pollutants,0.5118808512327782,0.0,0.5118808512327782
Temperature,Ozone,-1.3195057518073905,0.17599746595826968,-1.1435082858491208
Temperature,Particulates,0.37503935983894987,0.0,0.37503935983894987
Temperature,Influenza,0.4252890759090413,-0.1450958775638302,0.2801931983452111
Moisture,Primary Pollutants,0.2932564146297328,0.0,0.2932564146297328
Moisture,Ozone,0.0,0.1008289052550822,0.1008289052550822
Moisture,Particulates,0.4109775782476454,0.0,0.4109775782476454
Moisture,Influenza,-0.014104970392498223,-0.028396291348145926,-0.04250126174064415
Atmosphere,Primary Pollutants,-0.007824458839745398,0.0,-0.007824458839745398
Atmosphere,Ozone,0.904341342206302,-0.002690245054046264,0.9016510971522558
Atmosphere,Particulates,-0.004124666887664913,0.0,-0.004124666887664913
Atmosphere,Influenza,0.0,0.04825147637787358,0.04825147637787358
Primary Pollutants,Ozone,0.343825063067723,0.0,0.343825063067723
Primary Pollutants,Influenza,-0.2253008004076176,0.017851574674479734,-0.20744922573313787
Ozone,Influenza,0.05192051596006985,0.0,0.05192051596006985
Particulates,Influenza,0.07893259030428393,0.0,0.07893259030428393
