Predictor,Response,Estimate,StdError,tValue,pValue,R2,Significance
Moisture,Influenza,-0.10009901053408221,0.04557594596475148,-2.1963122962164947,0.028475163931512584,0.3605960298838572,*
Ozone,Influenza,-0.27704587323484675,0.042543743660451716,-6.512023846467139,1.639967790942679e-10,0.3605960298838572,***
Particulates,Influenza,0.15242067426259168,0.09338293970480152,1.632211137756189,0.10319218870127007,0.3605960298838572,ns
Policy,Influenza,0.3491445104771663,0.0370078817173401,9.434328426141022,1.0134761391217221e-19,0.3605960298838572,***
Primary Pollutants,Influenza,0.09220809856018457,0.07379260430703347,1.2495574512660999,0.2119786299979659,0.3605960298838572,ns
Temperature,Influenza,0.22105184218826443,0.04572783167116835,4.834076624884859,1.7263595701222222e-06,0.3605960298838572,***
Atmosphere,Ozone,0.6830871478835442,0.09138242749045922,7.475038326759944,2.938051752617528e-13,0.13252174502425473,***
Primary Pollutants,Ozone,0.1372092566651173,0.044220163480098544,3.1028663366852736,0.0020118370815335545,0.13252174502425473,**
Temperature,Ozone,-0.4923294187284981,0.09453441049283982,-5.2079387406323105,2.674218448612236e-07,0.13252174502425473,***
Atmosphere,Particulates,-0.06801274436718348,0.08007592779793675,-0.8493531856266036,0.39604262938699064,0.4734536583820156,ns
Moisture,Particulates,0.3701701256687542,0.03980087080488056,9.30055343470933,2.99009374398619e-19,0.4734536583820156,***
Temperature,Particulates,0.48946159383462834,0.07229991256167695,6.7698780882630105,3.2214580319996434e-11,0.4734536583820156,***
Atmosphere,Primary Pollutants,-0.3285965573211928,0.09527208981900528,-3.4490327434346146,0.0006043181346852778,0.2546435320999453,***
Moisture,Primary Pollutants,0.24691179499833749,0.047353958205338574,5.2141743659034026,2.5897946782976923e-07,0.2546435320999453,***
Temperature,Primary Pollutants,0.6375151169763197,0.08602040529413381,7.41120801275503,4.563783064815581e-13,0.2546435320999453,***
