Predictor,Response,Estimate,StdError,tValue,pValue,R2,Significance
Moisture,Influenza,-0.014104970392498223,0.07389240263283628,-0.1908852586995224,0.8487518750484684,0.1269675662418791,ns
Ozone,Influenza,0.05192051596006985,0.07272442365371164,0.7139350626867427,0.47585365738546437,0.1269675662418791,ns
Particulates,Influenza,0.07893259030428393,0.10104643369454272,0.7811516687752919,0.43536396079378115,0.1269675662418791,ns
Policy,Influenza,-0.10011947717139567,0.05950845244891902,-1.682441284409747,0.09358236156549848,0.1269675662418791,ns
Primary Pollutants,Influenza,-0.2253008004076176,0.10351062794408714,-2.1765958228880353,0.030334497803984697,0.1269675662418791,*
Temperature,Influenza,0.4252890759090413,0.08044393489151515,5.286776143938961,2.486709622574755e-07,0.1269675662418791,***
Atmosphere,Ozone,0.904341342206302,0.10227261433105553,8.842458444241556,9.698540440282589e-17,0.38676173417691784,***
Primary Pollutants,Ozone,0.343825063067723,0.05753297404160166,5.976139227899216,6.7596060862678555e-09,0.38676173417691784,***
Temperature,Ozone,-1.3195057518073905,0.1026877796725745,-12.849686262715052,3.6871312675197384e-30,0.38676173417691784,***
Atmosphere,Particulates,-0.004124666887664913,0.11478240108364275,-0.035934662881457226,0.9713594372523452,0.3851635780999202,ns
Moisture,Particulates,0.4109775782476454,0.05441639902973344,7.552458184950549,5.732111494390383e-13,0.3851635780999202,***
Temperature,Particulates,0.37503935983894987,0.1067265894128208,3.51401990733808,0.0005126443251008319,0.3851635780999202,***
Atmosphere,Primary Pollutants,-0.007824458839745398,0.11180072319169594,-0.06998576231326707,0.9442537307662849,0.41669163908111706,ns
Moisture,Primary Pollutants,0.2932564146297328,0.053002835866613356,5.532843853256083,7.100590679217734e-08,0.41669163908111706,***
Temperature,Primary Pollutants,0.5118808512327782,0.10395417561827751,4.924100914545446,1.4324776094194874e-06,0.41669163908111706,***
